order_id,customer_id,order_date,amount
1,15796,2024-08-30,885.4
2,861,2025-08-31,75.09
3,76821,2026-01-30,404.18
4,54887,2025-10-01,719.76
5,6266,2025-12-12,483.88
6,82387,2026-04-01,416.69
7,37195,2024-09-23,415.34
8,87499,2024-05-30,579.15
9,44132,2026-01-17,134.07
10,60264,2025-11-02,323.86
11,16024,2025-09-29,83.42
12,41091,2025-05-25,471.17
13,67222,2026-04-05,522.19
14,64821,2024-10-03,137.05
15,770,2024-10-01,830.76
16,59736,2026-04-23,555.79
17,62956,2026-01-27,591.91
18,64926,2024-08-23,770.1
19,67970,2024-08-28,137.74
20,5312,2024-09-06,507.84
21,83105,2025-09-06,869.53
22,53708,2025-04-28,833.08
23,85306,2025-10-08,522.92
24,28694,2025-07-30,311.08
25,71933,2024-07-23,170.35
26,93017,2025-11-09,935.39
27,25659,2025-04-21,233.22
28,84479,2025-05-10,948.01
29,18432,2025-12-08,523.71
30,2748,2025-05-16,291.21
31,59151,2025-05-17,88.07
32,65726,2024-07-30,204.34
33,84655,2026-01-03,956.79
34,35774,2025-05-07,281.71
35,67436,2025-11-03,628.77
36,56887,2025-02-20,618.28
37,66804,2026-01-28,102.49
38,31552,2025-04-28,644.58
39,11395,2026-01-11,595.89
40,69093,2024-06-17,584.84
41,3891,2024-09-09,179.49
42,41607,2024-08-23,628.23
43,96277,2026-05-19,902.98
44,80039,2024-11-13,344.24
45,87314,2026-02-23,924.69
46,10628,2025-02-18,50.78
47,8793,2025-09-25,865.14
48,73970,2024-11-21,90.41
49,43002,2026-02-14,949.06
50,76553,2025-11-08,773.31
51,23898,2025-08-25,272.01
52,68149,2025-11-30,218.7
53,23484,2025-11-11,576.42
54,48556,2025-04-02,621.93
55,17160,2024-07-07,39.98
56,80078,2024-09-17,890.11
57,35921,2024-10-23,550.12
58,92068,2024-12-07,645.49
59,67122,2024-10-03,309.07
60,69480,2025-12-18,252.43
61,89476,2024-08-15,809.28
62,19458,2026-02-04,412.03
63,66558,2025-07-12,459.01
64,77190,2025-09-22,691.73
65,78954,2025-04-28,166.5
66,52996,2024-11-26,421.47
67,40758,2025-06-10,469.8
68,9693,2025-08-19,346.79
69,45759,2026-04-09,152.23
70,72410,2024-11-24,862.87
71,71212,2025-04-03,326.12
72,65698,2024-10-08,988.14
73,37066,2025-09-23,351.92
74,92094,2024-07-01,404.73
75,99300,2024-08-26,763.06
76,32607,2024-07-19,519.83
77,11535,2025-04-12,115.12
78,94664,2025-10-09,249.32
79,40398,2024-11-23,131.3
80,91388,2026-04-08,455.1
81,1017,2024-10-25,149.47
82,89790,2026-03-13,60.1
83,55592,2025-10-14,945.93
84,89813,2025-12-29,865.52
85,23248,2025-08-28,423.95
86,24301,2025-06-09,963.06
87,74066,2025-01-04,903.29
88,82799,2025-01-17,815.34
89,9269,2025-09-29,934.41
90,86808,2026-05-18,723.92
91,12186,2025-07-18,197.94
92,63705,2025-03-01,167.75
93,86780,2025-05-05,996.01
94,39100,2024-06-19,472.15
95,8572,2026-01-12,880.28
96,38045,2024-05-25,502.4
97,51215,2025-12-24,99.15
98,61229,2025-11-01,399.31
99,48985,2025-10-25,462.66
100,40775,2025-02-16,248.32
101,2569,2024-12-14,587.51
102,62593,2024-08-23,58.17
103,67564,2025-03-23,288.54
104,2696,2024-08-15,601.54
105,48191,2024-08-26,844.42
106,5259,2025-07-02,675.8
107,87539,2025-01-21,292.89
108,39505,2026-04-09,18.1
109,33160,2024-08-21,116.42
